Table 80,,,,
Full-time Law Enforcement Employees ,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2014",,,,
State,County,police,"Total
officers","Total
civilians"
,Elk,9,4,5
,Ellis,31,18,13
,Ellsworth,15,6,9
,Finney,93,37,56
,Ford,68,27,41
,Franklin,64,25,39
,Geary,82,35,47
,Gove,5,4,1
,Graham,7,3,4
,Grant,13,5,8
,Gray,16,10,6
,Greeley,7,3,4
,Greenwood,23,13,10
,Harper,13,7,6
,Hodgeman,9,4,5
,Jewell,10,6,4
,Kearny,19,12,7
,Labette,29,17,12
,Lane,10,5,5
,Lincoln,13,8,5
,Logan,4,3,1
,Lyon,84,25,59
,Marion,14,8,6
,Marshall,19,8,11
,McPherson,34,16,18
,Meade,17,6,11
,Mitchell,20,7,13
,Morris,12,7,5
,Morton,10,6,4
,Nemaha,19,8,11
,Neosho,38,17,21
,Ness,13,8,5
,Norton,10,5,5
,Osborne,14,7,7
,Ottawa,17,5,12
,Phillips,12,7,5
,Pratt,14,8,6
,Reno,83,74,9
,Republic,15,10,5
,Rice,23,6,17
,Rooks,11,6,5
,Rush,12,7,5
,Russell,17,10,7
,Saline,94,46,48
,Scott,9,5,4
,Seward,44,15,29
,Sheridan,6,3,3
,Smith,5,5,0
,Stafford,9,4,5
,Stanton,13,8,5
,Stevens,21,9,12
,Thomas,14,6,8
,Trego,5,4,1
,Wallace,10,3,7
,Washington,19,6,13
,Wichita,8,4,4
,Wilson,28,10,18
,Woodson,13,8,5
KENTUCKY-Metropolitan Counties,Allen,16,14,2
,Bourbon,7,6,1
,Bullitt,47,32,15
,Campbell,15,11,4
,Campbell County Police Department,32,31,1
,Christian,36,32,4
,Clark,17,13,4
,Daviess,47,42,5
,Edmonson,9,5,4
,Fayette,82,48,34
,Gallatin,12,11,1
,Grant,16,14,2
,Greenup,19,16,3
,Hardin,42,27,15
,Henderson,27,22,5
,Henry,6,5,1
,Jefferson,251,203,48
,Kenton,37,23,14
,Kenton County Police Department,33,31,2
,Larue,6,5,1
,McLean,21,8,13
,Meade,14,11,3
,Oldham,19,17,2
,Pendleton,7,6,1
,Shelby,24,22,2
,Trigg,9,6,3
,Warren,82,38,44
,Woodford,16,10,6
KENTUCKY-Nonmetropolitan Counties,Adair,8,6,2
,Anderson,17,15,2
,Ballard,14,11,3
,Barren,20,15,5
,Bath,5,4,1
,Boyle,12,11,1
,Breathitt,3,1,2
,Breckinridge,12,9,3
,Calloway,31,14,17
,Carlisle,4,2,2
,Carroll,5,3,2
,Carter,11,8,3
,Casey,8,6,2
,Clay,19,15,4
,Crittenden,5,4,1
,Cumberland,5,4,1
,Elliott,1,1,0
,Estill,6,4,2
,Fleming,7,6,1
,Floyd,14,11,3
,Franklin,28,26,2
