Table 80,,,,
Full-time Law Enforcement Employees ,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2014",,,,
State,County,police,"Total
officers","Total
civilians"
,San Juan,35,15,20
,Sanpete,54,19,35
,Sevier,72,41,31
,Summit,96,59,37
,Uintah,81,23,58
,Wasatch,49,40,9
,Wayne,12,5,7
VERMONT-Metropolitan Counties,Chittenden,21,18,3
,Franklin,11,10,1
,Grand Isle,1,1,0
VERMONT-Nonmetropolitan Counties,Addison,5,5,0
,Bennington,9,6,3
,Caledonia,11,10,1
,Essex,3,3,0
,Lamoille,24,11,13
,Orange,10,7,3
,Orleans,8,6,2
,Rutland,22,18,4
,Washington,13,11,2
,Windham,22,18,4
,Windsor,14,11,3
VIRGINIA-Metropolitan Counties,Albemarle County Police Department,154,126,28
,Amelia,26,17,9
,Amherst,49,45,4
,Appomattox,22,21,1
,Arlington County Police Department,428,356,72
,Augusta,91,80,11
,Bedford,90,82,8
,Botetourt,116,93,23
,Buckingham,26,19,7
,Campbell,68,59,9
,Caroline,68,47,21
,Charles City,18,11,7
,Chesterfield County Police Department,595,494,101
,Clarke,29,17,12
,Craig,14,9,5
,Culpeper,94,82,12
,Dinwiddie,43,40,3
,Fairfax County Police Department,"1,604","1,328",276
,Fauquier,171,119,52
,Floyd,30,20,10
,Fluvanna,44,31,13
,Franklin,83,77,6
,Frederick,121,105,16
,Giles,34,24,10
,Gloucester,104,87,17
,Goochland,45,35,10
,Greene,39,23,16
,Hanover,231,214,17
,Henrico County Police Department,805,614,191
,Isle of Wight,51,46,5
,James City County Police Department,98,92,6
,King William,34,21,13
,Loudoun,637,526,111
,Mathews,18,11,7
,Montgomery,133,115,18
,Nelson,23,18,5
,New Kent,43,31,12
,Powhatan,55,40,15
,Prince George County Police Department,75,53,22
,Prince William County Police Department,700,582,118
,Pulaski,55,45,10
,Rappahannock,21,21,0
,Roanoke County Police Department,149,135,14
,Rockingham,74,58,16
,Scott,36,29,7
,Spotsylvania,277,207,70
,Stafford,238,168,70
,Sussex,47,42,5
,Warren,73,57,16
,Washington,76,55,21
,York,94,86,8
VIRGINIA-Nonmetropolitan Counties,Accomack,67,57,10
,Alleghany,62,43,19
,Bath,19,12,7
,Bland,16,10,6
,Brunswick,39,27,12
,Buchanan,47,34,13
,Carroll,42,35,7
,Charlotte,35,33,2
,Cumberland,19,14,5
,Dickenson,30,20,10
,Essex,20,13,7
,Grayson,32,26,6
,Greensville,33,33,0
,Halifax,39,32,7
,Henry,134,121,13
,Highland,12,7,5
,King and Queen,20,12,8
,King George,55,37,18
,Lancaster,38,30,8
,Lee,25,25,0
,Louisa,64,49,15
,Lunenburg,21,14,7
,Madison,34,20,14
,Mecklenburg,53,51,2
,Middlesex,22,16,6
,Northampton,84,67,17
,Northumberland,28,18,10
,Nottoway,22,12,10
,Orange,48,39,9
,Page,68,54,14
,Patrick,67,51,16
,Pittsylvania,133,118,15
,Prince Edward,30,23,7
,Richmond,23,15,8
,Rockbridge,43,35,8
,Russell,47,31,16
,Shenandoah,64,58,6
,Smyth,43,43,0
,Southampton,77,64,13
,Surry,24,14,10
,Tazewell,70,49,21
,Westmoreland,37,23,14
,Wise,62,46,16
,Wythe,47,39,8
WASHINGTON-Metropolitan Counties,Asotin,25,11,14
,Benton,68,56,12
,Chelan,74,59,15
,Clark,204,129,75
,Columbia,9,8,1
,Cowlitz,46,40,6
,Douglas,32,27,5
,Franklin,27,25,2
,King,295,199,96
,Kitsap,140,113,27
,Pend Oreille,40,16,24
,Pierce,334,278,56
,Skagit,107,53,54
,Skamania,20,16,4
,Snohomish,349,277,72
,Spokane,185,123,62
,Stevens,30,26,4
,Thurston,99,80,19
,Walla Walla,56,26,30
,Whatcom,183,83,100
,Yakima,76,51,25
WASHINGTON-Nonmetropolitan Counties,Adams,35,16,19
,Clallam,41,34,7
,Ferry,26,9,17
,Garfield,12,6,6
,Grant,72,48,24
,Grays Harbor,73,61,12
,Island,63,36,27
,Jefferson,48,24,24
,Kittitas,72,34,38
,Klickitat,39,19,20
,Lewis,50,36,14
,Lincoln,26,15,11
,Mason,66,50,16
,Okanogan,35,30,5
,Pacific,40,14,26
,San Juan,28,18,10
,Wahkiakum,18,7,11
,Whitman,22,18,4
WISCONSIN-Metropolitan Counties,Brown,313,156,157
,Calumet,51,24,27
,Chippewa,71,51,20
,Columbia,113,42,71
,Dane,531,438,93
,Douglas,75,67,8
,Eau Claire,108,41,67
,Fond du Lac,118,58,60
,Green,41,29,12
,Iowa,36,21,15
,Kenosha,397,122,275
,Kewaunee,37,35,2
,La Crosse,105,41,64
,Marathon,177,68,109
,Milwaukee,620,281,339
,Oconto,58,26,32
,Outagamie,194,82,112
,Ozaukee,97,76,21
,Pierce,49,43,6
,Racine,214,136,78
,Rock,198,98,100
,Sheboygan,169,69,100
,St. Croix,86,78,8
,Washington,172,72,100
,Waukesha,322,152,170
,Winnebago,194,134,60
WISCONSIN-Nonmetropolitan Counties,Adams,54,24,30
,Ashland,30,22,8
,Barron,67,26,41
,Bayfield,36,19,17
,Buffalo,22,11,11
,Burnett,30,16,14
,Clark,47,38,9
,Crawford,30,28,2
,Dodge,164,73,91
,Door,62,49,13
,Dunn,50,25,25
,Florence,18,12,6
,Forest,38,20,18
,Grant,50,27,23
,Green Lake,44,19,25
,Iron,19,11,8
,Jackson,42,22,20
,Jefferson,115,93,22
,Juneau,54,43,11
,Lafayette,17,16,1
,Langlade,37,16,21
,Lincoln,62,28,34
,Manitowoc,100,62,38
,Marinette,57,30,27
,Marquette,42,42,0
,Menominee,9,8,1
,Monroe,48,44,4
,Oneida,81,34,47
,Pepin,19,8,11
,Polk,72,28,44
,Portage,100,48,52
,Price,30,20,10
,Richland,31,17,14
,Rusk,29,26,3
,Sauk,141,59,82
,Sawyer,49,24,25
,Shawano,109,38,71
,Taylor,42,19,23
,Trempealeau,52,23,29
,Vernon,46,26,20
,Vilas,68,33,35
,Walworth,200,80,120
,Washburn,31,14,17
,Waupaca,96,44,52
,Waushara,50,25,25
,Wood,71,43,28
WYOMING-Metropolitan Counties,Laramie,151,109,42
,Natrona,167,55,112
WYOMING-Nonmetropolitan Counties,Albany,46,41,5
,Big Horn,19,10,9
,Campbell,60,44,16
,Carbon,31,18,13
,Converse,39,30,9
,Crook,19,9,10
,Goshen,29,20,9
,Hot Springs,8,6,2
,Lincoln,50,30,20
,Niobrara,15,4,11
,Park,57,19,38
,Platte,11,8,3
,Sheridan,27,21,6
,Sublette,37,32,5
,Sweetwater,104,74,30
,Uinta,52,35,17
,Washakie,9,8,1
,Weston,7,7,0
1 The employee data presented in this table for Mecklenburg represent only Mecklenburg County Sheriff's Office employees and exclude Charlotte-Mecklenburg Police Department employees.,,,,
